href;firstName;lastName;rank_score_Welterweight;rank_Welterweight
8ddf9c51c5fdea75;Rousimar;Palhares;0.0;283
8f0d576beba1cfcd;Matt;Dwyer;0.0;284
8f2939f5fd9cca1e;TJ;Waldburger;0.0;285
8f3df4c579cfbb69;David;Mitchell;0.0;286
8fc9ae9c7527dfcb;Callan;Potter;0.0;287
91186547a7f3f758;Ricardo;Almeida;0.0;288
918d9d89d4d52acc;Anthony;Torres;0.0;289
91acd6910b802a9e;Chris;Lytle;0.0;290
9310418684bc896f;Pawel;Pawlak;0.0;291
93ce4ac89e3d7652;Luke;Cummo;0.0;292
79899ecf62020f6d;Joe;Stevenson;0.0;293
73c7cfa551289285;BJ;Penn;0.0;294
4f736494fc733095;Carlos Eduardo;Rocha;0.0;295
56116a79e4deed06;Claude;Patrick;0.0;296
5eedbf1e9601be35;Brock;Larson;0.0;297
5b5307450405abf0;Rick;Story;0.0;298
5b407acfe0ef9b76;Nick;Osipczak;0.0;299
5866fc86183a9fb8;Erick;Silva;0.0;300
5823ceab56741617;Jonathan;Meunier;0.0;301
57bad6a84230f0c9;Tony;Sims;0.0;302
55a7b2d4e54ffac9;Ryo;Chonan;0.0;303
7339d340aa2889cb;Kyle;Noke;0.0;304
5431dccc09118234;Lance;Benoist;0.0;305
5331b25a60417ffb;Anthony Rocco;Martin;0.0;306
52ba464d9068d871;Elias;Silverio;0.0;307
519e4fe37ce9ff75;Drew;Dober;0.0;308
5140122c3eecd307;Daichi;Abe;0.0;309
4f853e98886283cf;Carlo;Prater;0.0;310
621a6c59f88a44fe;Matt;Hughes;0.0;311
638cfec7ec559d6e;Brandon;Thatch;0.0;312
6506c1d34da9c013;Georges;St-Pierre;0.0;313
65ddc8a9ac4e8531;Keita;Nakamura;0.0;314
68c11c27d4d56572;Dominique;Steele;0.0;315
69e8c632135af48b;Anying;Wang;0.0;316
6a96ad1bc34fb113;Ismail;Naurdiev;0.0;317
6ad9058b7c7898b0;Tony;DeSouza;0.0;318
6c7e25571490aa3b;George;Sullivan;0.0;319
6cadfd8f1d9e7685;Che;Mills;0.0;320
6da99156486ed6c2;Joshua;Burkman;0.0;321
6e0273f9478be71e;Kenny;Robertson;0.0;322
6eaec40f724852f4;Jessin;Ayari;0.0;323
6f018c039b4d5d80;Jon;Fitch;0.0;324
6f7c616b98e18c29;Claudio;Silva;0.0;325
71df36d6d8cf0d74;Kiichi;Kunimoto;0.0;326
725a834930c2b5bf;Troy;Mandaloniz;0.0;327
ff6a1f63c254127e;Albert;Tumenov;0.0;328
